            word  Callwild  Defoe
945         buck  0.006827    0.0
2198        dogs  0.002443    0.0
7864    thornton  0.001767    0.0
7258       spitz  0.001309    0.0
7028        sled  0.001309    0.0
3073    francois  0.001134    0.0
946       buck's  0.001025    0.0
8041       trail  0.000894    0.0
4153        john  0.000872    0.0
5538    perrault  0.000807    0.0
3438         hal  0.000654    0.0
7742        team  0.000654    0.0
3819         ice  0.000611    0.0
8029      traces  0.000611    0.0
386       around  0.000567    0.0
7133    sol-leks  0.000567    0.0
1833        dave  0.000523    0.0
4677       mates  0.000458    0.0
7865  thornton's  0.000458    0.0
1837      dawson  0.000436    0.0


             word  Callwild     Defoe
4974       myself       0.0  0.006369
3098       friday       0.0  0.003904
7875     thoughts       0.0  0.002421
778         board       0.0  0.001549
8023      towards       0.0  0.001461
8447          viz       0.0  0.001461
1637         corn       0.0  0.001331
1150         cave       0.0  0.001309
184    afterwards       0.0  0.001287
8460       voyage       0.0  0.001287
5933   providence       0.0  0.001178
5744       powder       0.0  0.001134
4265        labor       0.0  0.001134
648       believe       0.0  0.001025
1925  deliverance       0.0  0.001003
2476      england       0.0  0.000894
6551         sail       0.0  0.000872
6804        shall       0.0  0.000872
1372        coast       0.0  0.000872
7425        storm       0.0  0.000763

